Cliente,Endereco,CPF,Bairro,Salario,Raca,Sexo,Profissao,Idade,Celular
Ricardo Martins,"Rua da Gloria, 4752",15175855862,Gloria,4620.93,Golden Retriever,Masculino,Ator,57,(21) 94210-7989
Felipe Oliveira,"Rua Pacheco Leao, 8773",41272543172,Jardim Botanico,9728.39,Chihuahua,Masculino,Gerente,60,(21) 90253-9377
Vinicius Santos,"Rua do Ouvidor, 3859",93359607915,Centro,5798.31,Basset Hound,Masculino,Historiador,63,(21) 95095-2279
Michele Araujo,"Rua Voluntarios da Patria, 4433",46047988381,Botafogo,4553.74,Chihuahua,Feminino,Contador,38,(21) 90004-1081
Vinicius Santos,"Rua Casemiro de Abreu, 365",94706092225,Cascadura,5178.29,Golden Retriever,Masculino,Antropologo,50,(21) 99219-7176
Daniele Souza,"Rua Paissandu, 1990",19549933038,Flamengo,4630.34,Labrador,Feminino,Dentista,44,(21) 97045-5853
Joao Almeida,"Rua Sao Clemente, 9595",32285540266,Humaita,5111.84,Husky Siberiano,Masculino,Geografo,33,(21) 99666-8796
Vinicius Santos,"Rua Garcia d'Avila, 417",35367993978,Ipanema,1824.93,Chihuahua,Masculino,Terapeuta Ocupacional,28,(21) 96046-9024
Juliana Costa,"Rua do Pepino, 5320",13614679975,Recreio dos Bandeirantes,7480.57,Pit Bull,Feminino,Enfermeiro,37,(21) 94518-9642
Joao Almeida,"Rua Garcia d'Avila, 658",41447926134,Ipanema,7220.33,Beagle,Masculino,Economista,54,(21) 91437-8661
Isabela Martins,"Rua do Russel, 2979",29733051229,Gloria,3732.51,Pug,Feminino,Psicologo,24,(21) 92243-8015
Carlos Santos,"Rua do Catete, 727",77930694633,Flamengo,9395.52,Pit Bull,Masculino,Musico,68,(21) 96922-5358
Lucas Ferreira,"Rua Siqueira Campos, 3997",33638823955,Copacabana,7344.94,Yorkshire Terrier,Masculino,Quimico,66,(21) 98130-3401
Rodrigo Costa,"Avenida Vieira Souto, 770",46616286429,Ipanema,3678.69,Golden Retriever,Masculino,Farmaceutico,21,(21) 97173-7752
Larissa Ferreira,"Rua Siqueira Campos, 2702",18936642815,Copacabana,4177.64,Bulldog,Feminino,Medico,20,(21) 97076-4463
Diego Silva,"Rua Barao de Sao Francisco, 5938",41720671921,Humaita,4003.4,Maltes,Masculino,Professor,45,(21) 95382-4875
Viviane Mendes,"Rua Plinio Casado, 795",88003105809,Cascadura,5699.35,Bulldog,Feminino,Psicologo,69,(21) 91016-4526
Carlos Santos,"Rua Uruguai, 6959",36566090242,Tijuca,4247.53,Rottweiler,Masculino,Producao de Eventos,27,(21) 93405-5230
Leandro Rodrigues,"Rua Professor Annes Dias, 4558",88022629327,Sao Conrado,4368.73,Maltes,Masculino,Quimico,60,(21) 98447-6702
Felipe Oliveira,"Rua Monte Alegre, 6823",95988272589,Santa Teresa,5821.08,Bulldog,Masculino,Contador,26,(21) 97094-6246
Leandro Rodrigues,"Rua Visconde de Piraja, 4001",40217285112,Ipanema,8126.79,Yorkshire Terrier,Masculino,Quimico,55,(21) 91855-9270
Isabela Martins,"Rua do Pepino, 7244",19153142190,Recreio dos Bandeirantes,7763.24,Yorkshire Terrier,Feminino,Professor,31,(21) 96590-1092
Felipe Oliveira,"Avenida Aquarela do Brasil, 2279",63474652635,Sao Conrado,2841.05,Boxer,Masculino,Biologo,57,(21) 95496-8821
Tatiane Almeida,"Rua Garcia d'Avila, 4596",38827341654,Ipanema,7555.05,Beagle,Feminino,Musico,64,(21) 97774-3394
Amanda Carvalho,"Rua Plinio Casado, 4278",77692395159,Cascadura,9610.38,Border Collie,Feminino,Quimico,24,(21) 90451-2337
Roberta Moreira,"Rua Heitor de Silva Costa, 140",47193955964,Vila Isabel,3081.72,Poodle,Feminino,Farmaceutico,26,(21) 91380-6212
Gabriela Rocha,"Rua Barao de Santa Marta, 5318",28888454288,Rio Comprido,5284.11,Pug,Feminino,Veterinario,43,(21) 90916-9826
Pedro Pinto,"Rua Paissandu, 6902",19019262102,Flamengo,5570.85,Maltes,Masculino,Antropologo,30,(21) 96904-2057
Luana Campos,"Rua 28 de Setembro, 4485",18030409035,Vila Isabel,8325.0,Shih Tzu,Feminino,Gerente,18,(21) 97400-4299
Isabela Martins,"Rua Conde de Iraja, 9668",20917422694,Catete,8685.52,Cocker Spaniel,Feminino,Farmaceutico,30,(21) 90747-7317
Gabriela Rocha,"Rua da Assembleia, 2579",16823401485,Centro,2784.27,Basset Hound,Feminino,Contador,44,(21) 99581-3802
Natalia Pinto,"Rua Buarque de Macedo, 3355",92133087627,Vila Isabel,7188.14,Bulldog,Feminino,Farmaceutico,29,(21) 96437-8741
Andre Carvalho,"Rua do Catete, 6137",42782814466,Catete,8423.86,Husky Siberiano,Masculino,Chef de Cozinha,44,(21) 96608-2333
Larissa Ferreira,"Rua Conde de Bonfim, 1445",25778470848,Tijuca,2461.18,Husky Siberiano,Feminino,Fisioterapeuta,52,(21) 94441-6287
Eduardo Campos,"Rua Marques de Abrantes, 5475",14853771247,Flamengo,4590.03,Husky Siberiano,Masculino,Analista de Sistemas,26,(21) 97286-8493
Isabela Martins,"Rua Ataulfo de Paiva, 6506",33965397943,Leblon,4609.88,Pug,Feminino,Dentista,59,(21) 95166-3565
Juliana Costa,"Rua Barao de Santa Marta, 878",40652966407,Rio Comprido,7484.95,Maltes,Feminino,Padeiro,71,(21) 97754-3607
Diego Silva,"Rua Clarimundo de Melo, 9468",79318722690,Tijuca,1788.8,Husky Siberiano,Masculino,Historiador,29,(21) 95357-6662
Maria Luiza Silva,"Rua Plinio Casado, 2555",85351650571,Cascadura,8705.15,Husky Siberiano,Feminino,Fisioterapeuta,19,(21) 97816-4155
Andre Carvalho,"Rua Voluntarios da Patria, 7349",71349430667,Botafogo,7780.37,Shih Tzu,Masculino,Contador,43,(21) 97798-2855
Leandro Rodrigues,"Avenida Atlantica, 3883",20911115753,Copacabana,4395.7,Shiba Inu,Masculino,Lider de Projeto,56,(21) 93574-3160
Carla Rodrigues,"Rua Jose Higino, 1990",10407635104,Tijuca,2219.88,Shiba Inu,Feminino,Antropologo,69,(21) 91717-2016
Daniel Araujo,"Rua do Russel, 4877",69066688114,Gloria,9546.54,Basset Hound,Masculino,Contador,65,(21) 97638-5375
Michele Araujo,"Rua 28 de Setembro, 7811",94391719898,Vila Isabel,1445.48,Dachshund,Feminino,Arquiteto,20,(21) 91524-1170
Fernanda Santos,"Rua Casemiro de Abreu, 5851",27677204947,Cascadura,3480.5,Shiba Inu,Feminino,Gerente,47,(21) 97692-4370
Carlos Santos,"Rua Joaquim Nabuco, 9824",74860598970,Recreio dos Bandeirantes,7925.56,Shiba Inu,Masculino,Quimico,58,(21) 95025-9371
Daniel Araujo,"Rua Jose Higino, 1718",68772398435,Tijuca,6780.98,Border Collie,Masculino,Gerente,29,(21) 97702-3184
Gabriel Rocha,"Rua 28 de Setembro, 3102",80100784157,Vila Isabel,7432.42,Poodle,Masculino,Administrador,18,(21) 90020-8218
Mariana Lima,"Avenida Delfim Moreira, 1596",14941813076,Leblon,1934.54,Maltes,Feminino,Producao de Eventos,26,(21) 98309-8685
