Cliente,Endereco,CPF,Bairro,Salario,Raca,Sexo,Profissao,Idade,Celular
Patricia Melo,"Avenida Glaucio Gil, 6646",61302501849.0,Recreio dos Bandeirantes,7586.78,Poodle,Feminino,Arquiteto,20,(21) 92617-3150
Rodrigo Costa,"Rua Gal. Osorio, 9448",67177715505.0,Cascadura,4434.36,Poodle,Masculino,Publicitario,29,(21) 92032-5663
Thiago Souza,"Praia de Botafogo, 2145",26911078678.0,Botafogo,9787.74,Bulldog,Masculino,Administrador,51,(21) 90435-2109
Andre Carvalho,"Avenida Ayrton Senna, 5716",76451639498.0,Barra da Tijuca,3563.91,Poodle,Masculino,Jornalista,65,(21) 94973-6373
Diego Silva,"Rua Heitor de Silva Costa, 4524",60215093985.0,Vila Isabel,2094.32,Basset Hound,Masculino,Professor,66,(21) 94591-9335
Viviane Mendes,"Rua Candido Mendes, 7130",44775257324.0,Gloria,5903.54,Pug,Feminino,Enfermeiro,36,(21) 96086-6927
Camila Pereira,"Rua Mem de Sa, 4227",24839768022.0,Lapa,7769.81,Shiba Inu,Feminino,Jornalista,31,(21) 91906-1312
Felipe Oliveira,"Rua da Assembleia, 4275",78771622440.0,Centro,1989.71,Pit Bull,Masculino,Psicologo,18,(21) 94197-8405
Thiago Souza,"Avenida Rio Branco, 8386",63896132065.0,Centro,7613.31,Husky Siberiano,Masculino,Padeiro,46,(21) 93449-5232
Thiago Souza,"Rua Mem de Sa, 1125",76179586243.0,Lapa,9233.76,Labrador,Masculino,Producao de Eventos,39,(21) 98962-2176
Daniel Araujo,"Rua Gal. Osorio, 8979",48406113501.0,Cascadura,2047.54,Border Collie,Masculino,Terapeuta Ocupacional,27,(21) 98887-7025
Juliana Costa,"Rua Candido Mendes, 2405",26746220862.0,Gloria,8792.31,Shiba Inu,Feminino,Advogado,52,(21) 95798-5129
Natalia Pinto,"Rua Joao Lira, 9092",30978885564.0,Sao Conrado,5164.56,Shiba Inu,Feminino,Administrador,56,(21) 96297-7422
Leandro Rodrigues,"Rua Ary Schiavo, 2864",34417421108.0,Barra da Tijuca,3362.28,Border Collie,Masculino,Biologo,28,(21) 94388-2436
Patricia Melo,"Rua Barata Ribeiro, 3062",32376957738.0,Copacabana,5666.97,Poodle,Feminino,Contador,64,(21) 97390-2200
Fernanda Santos,"Rua Bartolomeu Mitre, 285",58078657752.0,Leblon,6772.75,Chihuahua,Feminino,Padeiro,46,(21) 90467-7048
Gustavo Moreira,"Rua Gal. Osorio, 8897",22766480049.0,Cascadura,9325.24,Poodle,Masculino,Biologo,39,(21) 97767-5508
Isabela Martins,"Rua Mem de Sa, 5841",81748198139.0,Lapa,6245.88,Poodle,Feminino,Antropologo,52,(21) 95048-5300
Maria Luiza Silva,"Rua do Dende, 3001",30472272434.0,Recreio dos Bandeirantes,6433.12,Chihuahua,Feminino,Analista de Sistemas,66,(21) 97666-1441
Pedro Pinto,"Rua Ataulfo de Paiva, 4526",27853840521.0,Leblon,2610.62,Basset Hound,Masculino,Padeiro,45,(21) 97583-6021
Amanda Carvalho,"Rua da Assembleia, 3905",10456652248.0,Centro,6243.66,Pit Bull,Feminino,Engenheiro,51,(21) 95535-6489
Carlos Santos,"Rua Paissandu, 2819",51597733515.0,Flamengo,1736.47,Husky Siberiano,Masculino,Padeiro,57,(21) 96926-2436
Michele Araujo,"Rua Sao Clemente, 4728",48417483559.0,Botafogo,3370.24,Maltes,Feminino,Psicologo,57,(21) 99041-8812
Thiago Souza,"Rua Visconde de Piraja, 302",21873726179.0,Ipanema,2849.46,Poodle,Masculino,Geografo,43,(21) 92218-7314
Luana Campos,"Rua Garcia d'Avila, 3568",54709761313.0,Ipanema,8330.47,Boxer,Feminino,Chef de Cozinha,34,(21) 94615-4492
Eduardo Campos,"Rua Almirante Alexandrino, 9283",93383134007.0,Santa Teresa,6899.58,Pit Bull,Masculino,Advogado,39,(21) 95973-9009
Natalia Pinto,"Rua do Dende, 901",13595001218.0,Recreio dos Bandeirantes,5359.34,Maltes,Feminino,Personal Trainer,21,(21) 96443-3739
Ana Beatriz Oliveira,"Rua Marques de Abrantes, 3978",51023472013.0,Flamengo,9300.23,Boxer,Feminino,Designer,44,(21) 99287-5865
Joao Almeida,"Rua Buarque de Macedo, 9316",72676524476.0,Vila Isabel,6613.76,Golden Retriever,Masculino,Arquiteto,70,(21) 93311-2205
Gabriela Rocha,"Rua Clarimundo de Melo, 2110",98781896864.0,Tijuca,7297.02,Rottweiler,Feminino,Antropologo,61,(21) 95259-2446
Rodrigo Costa,"Rua Casemiro de Abreu, 8025",91643846453.0,Cascadura,8999.54,Yorkshire Terrier,Masculino,Professor,22,(21) 98144-3655
Michele Araujo,"Rua Paissandu, 5533",37916094420.0,Flamengo,1409.09,Boxer,Feminino,Desenvolvedor,43,(21) 91550-3831
Rodrigo Costa,"Rua Casemiro de Abreu, 4300",80418077830.0,Cascadura,6362.07,Golden Retriever,Masculino,Personal Trainer,54,(21) 99633-5289
Daniele Souza,"Rua General Glicerio, 847",17437984903.0,Rio Comprido,5598.08,Rottweiler,Feminino,Artesao,43,(21) 94919-7459
Felipe Oliveira,"Avenida Vieira Souto, 4538",52936218175.0,Ipanema,9220.5,Pug,Masculino,Publicitario,40,(21) 93806-3242
Felipe Oliveira,"Rua Joaquim Nabuco, 7518",62257505436.0,Recreio dos Bandeirantes,3011.4,Shiba Inu,Masculino,Musico,43,(21) 94592-5036
Michele Araujo,"Avenida Ayrton Senna, 8072",72191969445.0,Barra da Tijuca,1957.04,Schnauzer,Feminino,Desenvolvedor,25,(21) 99879-6777
Ricardo Martins,"Avenida Vieira Souto, 7548",17283240088.0,Ipanema,6871.03,Husky Siberiano,Masculino,Dentista,63,(21) 90498-3566
Ana Beatriz Oliveira,"Rua Bento Lisboa, 3810",81022475367.0,Humaita,6947.02,Shiba Inu,Feminino,Artesao,60,(21) 98444-3186
Michele Araujo,"Rua do Rio Comprido, 6240",80517040497.0,Rio Comprido,6009.23,Boxer,Feminino,Psicologo,30,(21) 91273-5265
Diego Silva,"Rua Farme de Amoedo, 6633",88301471226.0,Ipanema,9441.05,Labrador,Masculino,Contador,66,(21) 90670-4234
Gabriel Rocha,"Rua Nelson Mandela, 8045",39233852751.0,Botafogo,8593.5,Pug,Masculino,Diretor,65,(21) 91533-5805
Juliana Costa,"Rua Garcia d'Avila, 3453",89890016678.0,Ipanema,2473.73,Yorkshire Terrier,Feminino,Gerente,56,(21) 93819-1806
